PLAYER,TEAM,NUMBER,POSITION,Height,Weight,LAST ATTENDED,COUNTRY,Position
"Johnny
Davis",WAS,1,0,76,195,Wisconsin,USA,
"JD
Davison",BOS,20,0,73,195,Alabama,USA,
"DeMar
DeRozan",CHI,11,1,78,220,Southern California,USA,
"Donte
DiVincenzo",NYK,0,0,76,203,Villanova,USA,
"Moussa
Diabate",LAC,25,2,81,210,Michigan,France,
"Mamadi
Diakite",NYK,21,2,81,228,Virginia,Guinea,
"Gradey
Dick",TOR,1,1,78,200,Kansas,USA,
"Ousmane
Dieng",OKC,13,2,81,185,New Zealand Breakers,France,
"Spencer
Dinwiddie",LAL,26,0,77,215,Colorado,USA,
"Luka
Doncic",DAL,77,1,79,230,Real Madrid,Slovenia,
"Luguentz
Dort",OKC,5,0,76,220,Arizona State,Canada,
"Ayo
Dosunmu",CHI,12,0,77,200,Illinois,USA,
"Jeff
Dowtin Jr.",PHI,11,0,75,177,Rhode Island,USA,
"Henri
Drell",CHI,77,2,81,220,Victoria Libertas,Estonia,
"Andre
Drummond",CHI,3,4,83,279,Connecticut,USA,
"Chris
Duarte",SAC,3,0,77,190,Oregon,Dominican Republic,
"David
Duke Jr.",SAS,28,0,76,204,Providence,USA,
"Kris
Dunn",UTA,11,0,75,205,Providence,USA,
"Kevin
Durant",PHX,35,2,83,240,Texas,USA,
"Jalen
Duren",DET,0,4,82,250,Memphis,USA,
"Tari
Eason",HOU,17,2,80,215,Louisiana State,USA,
"Anthony
Edwards",MIN,5,0,76,225,Georgia,USA,
"Kessler
Edwards",SAC,17,2,79,203,Pepperdine,USA,
"Keon
Ellis",SAC,23,0,75,175,Alabama,USA,
"Joel
Embiid",PHI,21,3,84,280,Kansas,Cameroon,
"Drew
Eubanks",PHX,14,3,82,245,Oregon State,USA,
"Tosan
Evbuomwan",DET,18,2,79,217,Princeton,United Kingdom,
"Dante
Exum",DAL,0,0,77,214,Australian Institute of Sport,Australia,
"Bruno
Fernando",ATL,24,3,81,240,Maryland,Angola,
"Dorian
Finney-Smith",BKN,28,2,79,220,Florida,USA,
"Adam
Flagler",OKC,14,0,75,180,Baylor,USA,
"Malachi
Flynn",DET,18,0,73,185,San Diego State,USA,
"Simone
Fontecchio",DET,19,2,79,209,Baskonia,Italy,
"Jordan
Ford",SAC,31,0,73,175,St. Mary's College,USA,
"Trent
Forrest",ATL,2,0,76,210,Florida State,USA,
"Evan
Fournier",DET,31,1,78,205,Poitiers Basket 86,France,
"De'Aaron
Fox",SAC,5,0,75,185,Kentucky,USA,
"Javon
Freeman-Liberty",TOR,0,0,75,190,DePaul,USA,
"Alex
Fudge",DAL,17,2,80,200,Florida,USA,
"Markelle
Fultz",ORL,20,0,76,209,Washington,USA,
"Andrew
Funk",CHI,,0,77,200,Penn State,USA,
"Daniel
Gafford",DAL,21,3,82,234,Arkansas,USA,
"Danilo
Gallinari",MIL,12,2,82,236,Olimpia Milano,Italy,
"Jaylin
Galloway",MIL,,2,78,190,Sydney Kings,Australia,
"Darius
Garland",CLE,10,0,73,192,Vanderbilt,USA,
"Usman
Garuba",GSW,12,2,80,229,Real Madrid,Spain,
"Luka
Garza",MIN,55,4,82,243,Iowa,USA,
"Keyonte
George",UTA,3,0,76,185,Baylor,USA,
"Paul
George",LAC,13,2,80,220,Fresno State,USA,
"Taj
Gibson",DET,67,2,81,232,Southern California,USA,
"Josh
Giddey",OKC,3,0,80,216,NBA Global Academy,Australia,
"Harry
Giles III",LAL,20,3,82,240,Duke,USA,
"Shai
Gilgeous-Alexander",OKC,2,0,78,195,Kentucky,Canada,
"Anthony
Gill",WAS,16,2,80,230,Virginia,USA,
"Collin
Gillespie",DEN,21,0,73,195,Villanova,USA,
"Jacob
Gilyard",BKN,14,0,68,160,Richmond,USA,
"Rudy
Gobert",MIN,27,4,85,258,Cholet,France,
"Jordan
Goodwin",MEM,0,0,76,200,St. Louis,USA,
"Aaron
Gordon",DEN,50,2,80,235,Arizona,USA,
"Eric
Gordon",PHX,23,0,75,215,Indiana,USA,
"Devonte'
Graham",SAS,4,0,73,195,Kansas,USA,
"Jerami
Grant",POR,9,2,79,210,Syracuse,USA,
"RaiQuan
Gray",SAS,0,2,79,269,Florida State,USA,
"AJ
Green",MIL,20,0,76,190,Northern Iowa,USA,
"Draymond
Green",GSW,23,2,78,230,Michigan State,USA,
"Jalen
Green",HOU,4,0,76,186,NBA G League Ignite,USA,
"Javonte
Green",CHI,24,0,77,205,Radford,USA,
"Jeff
Green",HOU,32,2,80,235,Georgetown,USA,
"Josh
Green",DAL,8,0,77,200,Arizona,Australia,
"AJ
Griffin",ATL,14,2,78,220,Duke,USA,
"Quentin
Grimes",DET,24,0,77,210,Houston,USA,
"Mouhamadou
Gueye",TOR,16,2,81,210,Pittsburgh,USA,
"Mouhamed
Gueye",ATL,18,2,82,210,Washington State,Senegal,
"Rui
Hachimura",LAL,28,2,80,230,Gonzaga,Japan,
"Ashton
Hagans",POR,19,1,75,190,Kentucky,USA,
